"id_consommation","nom_commune","consommation","annee"
"1","Archamps","1140.277","2022"
"2","Archamps","4796.931","2023"
"3","Beaumont","90.915","2022"
"4","Beaumont","174.672","2023"
"5","Bossey","7.509","2022"
"6","Bossey","227.474","2023"
"7","Chênex","76.271","2022"
"9","Chevrier","261.864","2022"
"10","Chevrier","256.744","2023"
"11","Collonges-sous-Salève","1046.133","2022"
"12","Collonges-sous-Salève","140.520","2023"
"35","Annemasse","2611.195","2023"
"14","Dingy-en-Vuache","5.448","2023"
"15","Feigères","134.380","2022"
"16","Feigères","473.756","2023"
"17","Jonzier-Épagny","56.309","2022"
"18","Jonzier-Épagny","131.637","2023"
"19","Neydens","490.629","2022"
"20","Neydens","461.492","2023"
"36","Ville-la-grand","1549.131","2023"
"23","Saint-Julien-en-Genevois","5096.385","2022"
"24","Saint-Julien-en-Genevois","1159.495","2023"
"40","Ambilly","829.329","2023"
"26","Savigny","37.357","2023"
"27","Valleiry","432.406","2022"
"28","Valleiry","245.963","2023"
"38","gaillard","2611.195","2023"
"37","Cranves-sales","1459.363","2023"
"41","Bernex","286.000","2023"
"39","Monnetier","735.329","2023"
"34","Vulbens","2093.743","2023"
"42","Cartigny","30.000","2023"
"44","Genève","2672370.000","2023"
"46","Genève","2723398.000","2022"
